State.UT,percent,year,bpl_pop,log_bpl_pop
A&N ISLANDS,1.0,2011,3810.0,12.850557278777309
ANDHRA PR,9.2,2011,7781451.999999999,18.253220224887745
ARUNACHAL,34.67,2011,479832.8,14.140489137702843
ASSAM,31.98,2011,9979678.8,17.256120974028384
BIHAR,33.74,2011,35123002.6,18.460852936997362
CHANDIGARH,21.81,2011,230095.5,13.869052272759154
CHHATTISGARH,39.93,2011,10200118.5,17.05595219989364
D&N HAVELI,39.31,2011,135226.4,12.748399843328054
DAMAN & DIU,9.86,2011,23959.8,12.400820837540556
DELHI,9.91,2011,1663690.8,16.636174963001974
GOA,5.09,2011,74263.1,14.193262512905648
GUJARAT,16.63,2011,10051171.999999998,17.917161711914147
HARYANA,11.16,2011,2829171.6,17.048328774401355
HIMACHAL,8.06,2011,553319.0,15.741946742850622
J & K,10.35,2011,1297993.5,16.344513914544642
JHARKHAND,36.96,2011,12192364.8,17.311654447249435
KARNATAKA,20.91,2011,12774964.5,17.927940604100712
KERALA,7.05,2011,2355123.0,17.32424611246677
LAKSHADWEEP,2.77,2011,1772.8,11.06665398721974
MADHYA PR,31.65,2011,22986445.5,18.100847325252484
MAHARASHTRA,17.35,2011,19496889.000000004,18.5373431608389
MANIPUR,36.89,2011,1053578.4,14.864932952581606
MEGHALAYA,11.87,2011,352182.9,14.903062236313684
MIZORAM,20.4,2011,223788.0,13.90809065083398
NAGALAND,18.88,2011,373635.2,14.498102729890284
ORISSA,32.59,2011,13679326.600000001,17.552560960763774
PONDICHERRY,9.69,2011,120931.2,14.03705362919324
PUNJAB,8.26,2011,2291571.8,17.138494150128643
RAJASTHAN,14.71,2011,10083410.8,18.043044802351194
SIKKIM,8.19,2011,50040.9,13.322853874813605
TAMILNADU,11.28,2011,8138181.6,18.09421627613869
TRIPURA,14.05,2011,516197.0,15.116791816940077
UTTAR PR,29.43,2011,58804671.6,19.11288748743996
UTTRANCHAL,11.26,2011,1135683.6,16.126658980766134
WEST BENGAL,19.98,2011,18236944.8,18.329398452304233
A&N ISLANDS,1.81,2012,6932.3,12.855792879125431
A&N ISLANDS,2.62,2013,10087.0,12.861001210669146
A&N ISLANDS,3.43,2014,13274.1,12.866182555987908
A&N ISLANDS,4.24,2015,16536.0,12.873904582205107
A&N ISLANDS,5.050000000000001,2016,19796.000000000004,12.879019669789754
A&N ISLANDS,5.860000000000001,2017,23088.400000000005,12.884108726347916
A&N ISLANDS,6.670000000000002,2018,26346.500000000004,12.886643575525625
A&N ISLANDS,7.480000000000002,2019,29695.60000000001,12.891694078557842
ANDHRA PR,10.01,2012,8531623.1,18.260875787120348
ANDHRA PR,10.82,2013,9292432.4,18.26848483065684
ARUNACHAL,35.480000000000004,2012,496365.20000000007,14.151268968443645
ARUNACHAL,36.290000000000006,2013,513140.6000000001,14.161933832651984
ARUNACHAL,37.10000000000001,2014,530159.0000000001,14.172486156701822
ARUNACHAL,37.91000000000001,2015,547420.4000000001,14.182928290955445
ARUNACHAL,38.72000000000001,2016,564924.8000000003,14.193262512905648
ARUNACHAL,39.530000000000015,2017,582672.2000000002,14.20349103015724
ARUNACHAL,40.34000000000002,2018,600662.6000000003,14.213615983257593
ARUNACHAL,41.15000000000002,2019,618896.0000000003,14.223639448385319
ASSAM,32.79,2012,10360984.2,17.268604417062505
ASSAM,33.6,2013,10748976.0,17.280965202464593
ASSAM,34.410000000000004,2014,11142990.300000003,17.293144182586254
ASSAM,35.220000000000006,2015,11543707.200000003,17.305207128718973
ASSAM,36.03000000000001,2016,11950430.400000002,17.317096143807237
ASSAM,36.84000000000001,2017,12357241.200000003,17.328338785610093
ASSAM,37.65000000000001,2018,12770127.000000006,17.33945643436835
ASSAM,38.460000000000015,2019,13189087.800000004,17.350451838836495
BIHAR,34.550000000000004,2012,36662732.50000001,18.480033979075618
BIHAR,35.36000000000001,2013,38234768.00000001,18.498844774169847
BIHAR,36.17000000000001,2014,39839446.50000001,18.5173082466149
BIHAR,36.98000000000001,2015,41477137.80000001,18.535445905961087
BIHAR,37.79000000000001,2016,43147110.40000002,18.553251684240173
BIHAR,38.600000000000016,2017,44759402.00000002,18.568729999316957
BIHAR,39.41000000000002,2018,46400939.90000002,18.58398087673138
BIHAR,40.22000000000002,2019,48070944.00000003,18.59899428771558
CHANDIGARH,22.619999999999997,2012,242486.39999999997,13.88503755344827
CHANDIGARH,23.429999999999996,2013,254918.39999999997,13.89985262551525
CHANDIGARH,24.239999999999995,2014,267609.5999999999,13.914451411615868
CHANDIGARH,25.049999999999994,2015,280559.99999999994,13.928840136128022
CHANDIGARH,25.859999999999992,2016,293769.5999999999,13.943024758544537
CHANDIGARH,26.66999999999999,2017,306971.6999999999,13.956142556513372
CHANDIGARH,27.47999999999999,2018,320141.9999999999,13.968232503350668
CHANDIGARH,28.28999999999999,2019,333539.09999999986,13.980178027695569
CHHATTISGARH,40.74,2012,10572030.0,17.071682206111817
CHHATTISGARH,41.550000000000004,2013,10950918.0,17.087206548957873
CHHATTISGARH,42.36000000000001,2014,11335959.600000001,17.102456199101674
CHHATTISGARH,43.17000000000001,2015,11727562.200000003,17.117476786175292
CHHATTISGARH,43.98000000000001,2016,12125725.800000003,17.132275089921578
CHHATTISGARH,44.79000000000001,2017,12521492.400000004,17.146142439349653
CHHATTISGARH,45.600000000000016,2018,12923040.000000006,17.159784827512624
CHHATTISGARH,46.41000000000002,2019,13330808.400000004,17.17324360302644
D&N HAVELI,40.120000000000005,2012,146438.00000000003,12.807655372286902
D&N HAVELI,40.93000000000001,2013,158399.1,12.866182555987908
D&N HAVELI,41.74000000000001,2014,170716.60000000003,12.921472880009725
D&N HAVELI,42.55000000000001,2015,183390.50000000003,12.973865689268807
D&N HAVELI,43.360000000000014,2016,195987.20000000007,13.021439671201302
D&N HAVELI,44.170000000000016,2017,213341.10000000006,13.087774003025942
D&N HAVELI,44.98000000000002,2018,231647.00000000012,13.151924121391561
D&N HAVELI,45.79000000000002,2019,250013.4000000001,13.210376086227196
DAMAN & DIU,10.67,2012,27742.0,12.468440756144114
DAMAN & DIU,11.48,2013,31914.4,12.535379989788607
DAMAN & DIU,12.290000000000001,2014,36255.50000000001,12.59473402514672
DAMAN & DIU,13.100000000000001,2015,40872.00000000001,12.650761671914688
DAMAN & DIU,13.910000000000002,2016,45763.90000000001,12.703816069256568
DAMAN & DIU,14.720000000000002,2017,52550.40000000001,12.785493861878301
DAMAN & DIU,15.530000000000003,2018,59790.50000000001,12.861001210669146
DAMAN & DIU,16.340000000000003,2019,67484.20000000001,12.931205293247745
DELHI,10.72,2012,1840195.2,16.65844129951499
DELHI,11.530000000000001,2013,2022823.2000000002,16.680222626079402
DELHI,12.340000000000002,2014,2211451.4000000004,16.701483823325983
DELHI,13.150000000000002,2015,2406318.5000000005,16.722357026157617
DELHI,13.960000000000003,2016,2607309.2000000007,16.742803431837533
DELHI,14.770000000000003,2017,2814571.2000000007,16.762892623054128
DELHI,15.580000000000004,2018,3027973.0000000005,16.782586173722024
DELHI,16.390000000000004,2019,3247514.6000000006,16.801899366984475
GOA,5.9,2012,86671.0,14.200093135890977
GOA,6.710000000000001,2013,99308.00000000001,14.207553321415745
GOA,7.520000000000001,2014,112123.20000000001,14.214958264437461
GOA,8.330000000000002,2015,125033.30000000002,14.221642776837895
GOA,9.140000000000002,2016,138196.80000000005,14.228944497097059
GOA,9.950000000000003,2017,151339.50000000003,14.23487922870341
GOA,10.760000000000003,2018,164735.60000000006,14.241432327807471
GOA,11.570000000000004,2019,178178.0000000001,14.24729362374025
GUJARAT,17.439999999999998,2012,10705195.2,17.93264349810796
GUJARAT,18.249999999999996,2013,11374677.499999998,17.947905292755024
GUJARAT,19.059999999999995,2014,12059452.599999998,17.962937662082158
GUJARAT,19.869999999999994,2015,12759321.799999995,17.977731828995456
GUJARAT,20.679999999999993,2016,13474674.399999995,17.992325662897265
GUJARAT,21.48999999999999,2017,14201451.599999996,18.006437233164874
GUJARAT,22.29999999999999,2018,14943229.999999993,18.0203524348725
GUJARAT,23.10999999999999,2019,15700009.599999992,18.034076658204857
HARYANA,11.97,2012,3084908.4,17.06479922804247
HARYANA,12.780000000000001,2013,3347465.4,17.081002795639193
HARYANA,13.590000000000002,2014,3616842.6000000006,17.096947988660034
HARYANA,14.400000000000002,2015,3892896.0000000005,17.112605928016364
HARYANA,15.210000000000003,2016,4175905.5000000005,17.128058895118347
HARYANA,16.020000000000003,2017,4463332.2,17.14273845531872
HARYANA,16.830000000000002,2018,4757167.800000001,17.157170262288425
HARYANA,17.64,2019,5057740.8,17.171431629634025
HIMACHAL,8.870000000000001,2012,614070.1000000001,15.750359904106201
HIMACHAL,9.680000000000001,2013,675857.6000000001,15.758846109872545
HIMACHAL,10.490000000000002,2014,738600.9000000001,15.767260905526541
HIMACHAL,11.300000000000002,2015,802300.0000000001,15.775605482856605
HIMACHAL,12.110000000000003,2016,866833.8000000002,15.783741310011926
HIMACHAL,12.920000000000003,2017,931015.2000000003,15.79042470906341
HIMACHAL,13.730000000000004,2018,995836.9000000003,15.796925872219523
HIMACHAL,14.540000000000004,2019,1061420.0000000002,15.803385043104912
J & K,11.16,2012,1413972.0,16.354747631223916
J & K,11.97,2013,1531920.6,16.364799544818748
J & K,12.780000000000001,2014,1652070.6,16.37482878262355
J & K,13.590000000000002,2015,1774310.4000000004,16.384758432779158
J & K,14.400000000000002,2016,1898496.0000000002,16.394514606980902
J & K,15.210000000000003,2017,2021104.8000000003,16.402372005531134
J & K,16.020000000000003,2018,2145398.4000000004,16.410168146382837
J & K,16.830000000000002,2019,2271376.8000000003,16.41790397730397
JHARKHAND,37.77,2012,12672212.7,17.32857725700245
JHARKHAND,38.580000000000005,2013,13160795.400000002,17.345189130589308
JHARKHAND,39.39000000000001,2014,13658482.500000002,17.36152955300439
JHARKHAND,40.20000000000001,2015,14165676.000000002,17.377635632111165
JHARKHAND,41.01000000000001,2016,14681580.000000006,17.393458479303888
JHARKHAND,41.820000000000014,2017,15194878.800000004,17.408264527503256
JHARKHAND,42.63000000000002,2018,15717254.700000007,17.422881674643897
JHARKHAND,43.44000000000002,2019,16247863.200000007,17.437261499807363
KARNATAKA,21.72,2012,13406018.4,17.9381510055429
KARNATAKA,22.529999999999998,2013,14047229.699999997,17.94825820750807
KARNATAKA,23.339999999999996,2014,14698364.999999998,17.958248396082265
KARNATAKA,24.149999999999995,2015,15359882.999999998,17.968155490079575
KARNATAKA,24.959999999999994,2016,16031558.399999995,17.977965395633337
KARNATAKA,25.769999999999992,2017,16686590.399999995,17.986075161541322
KARNATAKA,26.57999999999999,2018,17350094.999999996,17.99411968786927
KARNATAKA,27.38999999999999,2019,18022072.19999999,18.002100015894857
KERALA,7.859999999999999,2012,2644182.5999999996,17.33125614886888
KERALA,8.67,2013,2936962.5,17.338187866684432
KERALA,9.48,2014,3233533.2,17.345071866366993
KERALA,10.290000000000001,2015,3533997.6000000006,17.3519379180037
KERALA,11.100000000000001,2016,3838158.0000000005,17.35872822856698
KERALA,11.910000000000002,2017,4140035.1000000006,17.36400665541518
KERALA,12.720000000000002,2018,4444749.600000001,17.369228749079152
KERALA,13.530000000000003,2019,4752412.500000001,17.374423714087936
LAKSHADWEEP,3.58,2012,2327.0,11.082157933374816
LAKSHADWEEP,4.390000000000001,2013,2853.5000000000005,11.082157933374816
LAKSHADWEEP,5.200000000000001,2014,3432.0000000000005,11.097425172408931
LAKSHADWEEP,6.010000000000002,2015,3966.6000000000013,11.097425172408931
LAKSHADWEEP,6.820000000000002,2016,4569.4000000000015,11.112462823634855
LAKSHADWEEP,7.630000000000003,2017,5112.100000000002,11.112462823634855
LAKSHADWEEP,8.440000000000003,2018,5654.800000000002,11.112462823634855
LAKSHADWEEP,9.250000000000004,2019,6290.000000000003,11.127277689932466
MADHYA PR,32.46,2012,23975929.8,18.117722597486647
MADHYA PR,33.27,2013,24985437.3,18.13431781438224
MADHYA PR,34.080000000000005,2014,26014627.200000003,18.150629019537043
MADHYA PR,34.89000000000001,2015,27064173.000000004,18.166691325358634
MADHYA PR,35.70000000000001,2016,28133742.00000001,18.18249970675081
MADHYA PR,36.51000000000001,2017,29189014.80000001,18.1968869938047
MADHYA PR,37.320000000000014,2018,30262788.00000001,18.21107021925272
MADHYA PR,38.13000000000002,2019,31355061.600000013,18.22505509083561
MAHARASHTRA,18.16,2012,20637932.0,18.548590121373728
MAHARASHTRA,18.97,2013,21799375.5,18.55970329130325
MAHARASHTRA,19.779999999999998,2014,22981590.799999997,18.57070292180273
MAHARASHTRA,20.589999999999996,2015,24184190.399999995,18.581574361846528
MAHARASHTRA,21.399999999999995,2016,25407577.999999996,18.592337306331974
MAHARASHTRA,22.209999999999994,2017,26622904.89999999,18.60191004612002
MAHARASHTRA,23.019999999999992,2018,27856732.19999999,18.611392016783654
MAHARASHTRA,23.82999999999999,2019,29109059.89999999,18.62078492352014
MANIPUR,37.7,2012,1088399.0000000002,14.875728805025338
MANIPUR,38.510000000000005,2013,1123721.8,14.88640935076529
MANIPUR,39.32000000000001,2014,1159546.8,14.896977026895355
MANIPUR,40.13000000000001,2015,1195874.0000000002,14.907434194052001
MANIPUR,40.94000000000001,2016,1233112.8000000003,14.918115199907179
MANIPUR,41.750000000000014,2017,1270035.0000000005,14.928026080532419
MANIPUR,42.56000000000002,2018,1307868.8000000005,14.938165166527472
MANIPUR,43.37000000000002,2019,1345771.1000000006,14.947880265699238
MEGHALAYA,12.68,2012,380273.2,14.913789791175573
MEGHALAYA,13.49,2013,409016.8,14.924733355559649
MEGHALAYA,14.3,2014,438152.0,14.935232136213322
MEGHALAYA,15.110000000000001,2015,467805.6000000001,14.945621836689119
MEGHALAYA,15.920000000000002,2016,498136.80000000005,14.956224342241892
MEGHALAYA,16.73,2017,528835.3,14.966399307553289
MEGHALAYA,17.54,2018,559876.8,14.976158550834995
MEGHALAYA,18.349999999999998,2019,591603.9999999999,14.986133692782305
MIZORAM,21.209999999999997,2012,235218.89999999997,13.918970168045353
MIZORAM,22.019999999999996,2013,246844.19999999995,13.92973259411456
MIZORAM,22.829999999999995,2014,258663.89999999994,13.940380422622287
MIZORAM,23.639999999999993,2015,270677.99999999994,13.95091606833254
MIZORAM,24.449999999999992,2016,282886.49999999994,13.961341870479675
MIZORAM,25.25999999999999,2017,295289.3999999999,13.971660095885833
MIZORAM,26.06999999999999,2018,307886.6999999999,13.981872941919192
MIZORAM,26.87999999999999,2019,320409.59999999986,13.991143965533254
NAGALAND,19.689999999999998,2012,393799.99999999994,14.508658238524095
NAGALAND,20.499999999999996,2013,414509.99999999994,14.519598173122274
NAGALAND,21.309999999999995,2014,435363.29999999993,14.5299303632759
NAGALAND,22.119999999999994,2015,456777.9999999998,14.540641268638653
NAGALAND,22.929999999999993,2016,478319.7999999999,14.550759393929125
NAGALAND,23.73999999999999,2017,500439.19999999984,14.561250663026579
NAGALAND,24.54999999999999,2018,522669.49999999977,14.571163413579592
NAGALAND,25.35999999999999,2019,545239.9999999998,14.580978865220017
ORISSA,33.400000000000006,2012,14096470.000000002,17.558049279093833
ORISSA,34.21000000000001,2013,14517355.600000001,17.563507640126197
ORISSA,35.02000000000001,2014,14941983.400000004,17.568936369122582
ORISSA,35.83000000000001,2015,15369995.100000005,17.574312474694747
ORISSA,36.640000000000015,2016,15802099.200000007,17.579683019300433
ORISSA,37.45000000000002,2017,16219220.500000007,17.583871046658327
ORISSA,38.26000000000002,2018,16639274.00000001,17.58804160756761
ORISSA,39.07000000000002,2019,17062259.70000001,17.592194847113397
PONDICHERRY,10.5,2012,134295.0,14.061589862421503
PONDICHERRY,11.31,2013,148161.0,14.085538458535822
PONDICHERRY,12.120000000000001,2014,162408.00000000003,14.108180918195472
PONDICHERRY,12.930000000000001,2015,177270.30000000005,14.131051687938788
PONDICHERRY,13.740000000000002,2016,192634.80000000005,14.15341105984318
PONDICHERRY,14.550000000000002,2017,208938.00000000003,14.177372724968894
PONDICHERRY,15.360000000000003,2018,225792.00000000003,14.200773639026796
PONDICHERRY,16.17,2019,243196.80000000005,14.223639448385319
PUNJAB,9.07,2012,2541686.1,17.148536195208067
PUNJAB,9.88,2013,2796237.6,17.158443066827644
PUNJAB,10.690000000000001,2014,3055308.9000000004,17.168252754345303
PUNJAB,11.500000000000002,2015,3319015.0000000005,17.178001795393183
PUNJAB,12.310000000000002,2016,3587134.0000000005,17.18762239304842
PUNJAB,13.120000000000003,2017,3854656.0000000005,17.195824762746764
PUNJAB,13.930000000000003,2018,4125926.700000001,17.20392663902381
PUNJAB,14.740000000000004,2019,4401216.6000000015,17.21199689338705
RAJASTHAN,15.520000000000001,2012,10815422.4,18.059524359054958
RAJASTHAN,16.330000000000002,2013,11565722.500000002,18.075722617800164
RAJASTHAN,17.14,2014,12334458.2,18.09166266990132
RAJASTHAN,17.95,2015,13121809.0,18.107366297806372
RAJASTHAN,18.759999999999998,2016,13927423.999999998,18.122813659912048
RAJASTHAN,19.569999999999997,2017,14726033.599999998,18.136299896456357
RAJASTHAN,20.379999999999995,2018,15540972.799999997,18.149606671994327
RAJASTHAN,21.189999999999994,2019,16372241.599999996,18.162738700038098
SIKKIM,9.0,2012,55530.0,13.332625923631754
SIKKIM,9.81,2013,61214.4,13.343907249914384
SIKKIM,10.620000000000001,2014,67012.20000000001,13.355062726308148
SIKKIM,11.430000000000001,2015,72809.1,13.364526504411781
SIKKIM,12.240000000000002,2016,78825.6,13.375455557880317
SIKKIM,13.050000000000002,2017,84825.00000000001,13.384729180332174
SIKKIM,13.860000000000003,2018,91060.20000000001,13.395440819535605
SIKKIM,14.670000000000003,2019,97408.80000000002,13.406038934481533
TAMILNADU,12.09,2012,8782780.5,18.10109513625315
TAMILNADU,12.9,2013,9435318.0,18.10791332880184
TAMILNADU,13.71,2014,10096044.000000002,18.114698927908726
TAMILNADU,14.520000000000001,2015,10764692.4,18.121425304369662
TAMILNADU,15.330000000000002,2016,11441545.500000002,18.12812013744802
TAMILNADU,16.14,2017,12103224.6,18.1328520074126
TAMILNADU,16.95,2018,12770469.0,18.137548319471964
TAMILNADU,17.759999999999998,2019,13443431.999999998,18.14222267923903
TRIPURA,14.860000000000001,2012,551900.4,15.127620290146233
TRIPURA,15.670000000000002,2013,588251.8,15.13833276251108
TRIPURA,16.48,2014,625251.2,15.148931693051127
TRIPURA,17.29,2015,662898.6,15.159419463411897
TRIPURA,18.099999999999998,2016,701193.9999999999,15.169798381080176
TRIPURA,18.909999999999997,2017,740137.3999999999,15.180070682431227
TRIPURA,19.719999999999995,2018,779531.5999999999,15.189985595251217
TRIPURA,20.529999999999994,2019,819557.5999999997,15.199803166914462
UTTAR PR,30.24,2012,61407460.8,19.129046536737352
UTTAR PR,31.049999999999997,2013,64062980.99999999,19.144948618016894
UTTAR PR,31.859999999999996,2014,66771232.19999999,19.160601776337163
UTTAR PR,32.669999999999995,2015,69532214.39999999,19.176013684764825
UTTAR PR,33.48,2016,72345927.6,19.191191666960787
UTTAR PR,34.29,2017,75112587.9,19.20481514194668
UTTAR PR,35.1,2018,77927265.0,19.218255509625735
UTTAR PR,35.910000000000004,2019,80789958.9,19.231517626924393
UTTRANCHAL,12.07,2012,1233554.0,16.139857240587187
UTTRANCHAL,12.88,2013,1333595.2000000002,16.15288357302501
UTTRANCHAL,13.690000000000001,2014,1435670.3,16.165647048172694
UTTRANCHAL,14.500000000000002,2015,1540045.0000000002,16.178343825456764
UTTRANCHAL,15.310000000000002,2016,1646590.5000000002,16.190881413663973
UTTRANCHAL,16.12,2017,1754500.8,16.202804470763255
UTTRANCHAL,16.93,2018,1864500.9,16.214587041948857
UTTRANCHAL,17.74,2019,1976413.3999999997,16.2261426448
WEST BENGAL,20.79,2012,19134492.3,18.337701238941303
WEST BENGAL,21.599999999999998,2013,20044151.999999996,18.345924880423883
WEST BENGAL,22.409999999999997,2014,20966347.799999997,18.354092133483633
WEST BENGAL,23.219999999999995,2015,21900639.599999994,18.362182620160485
WEST BENGAL,24.029999999999994,2016,22847483.699999996,18.370218693459545
WEST BENGAL,24.839999999999993,2017,23768899.199999996,18.37660346716207
WEST BENGAL,25.64999999999999,2018,24700180.49999999,18.382947734019666
WEST BENGAL,26.45999999999999,2019,25641327.59999999,18.389252004767982
